iter	RMSE
0	10.61712722
1	10.06497874
2	9.66433913
3	9.250461865
4	8.873281834
5	8.523382113
6	8.205541237
7	7.910301995
8	7.670245599
9	7.42976962
10	7.226807716
11	7.085953269
12	6.910402652
13	6.74605101
14	6.585343757
15	6.463912446
16	6.371268522
17	6.266986818
18	6.143872731
19	6.03131849
20	5.930256495
21	5.848360557
22	5.795171679
23	5.728959242
24	5.641292307
25	5.569872715
26	5.488990011
27	5.425099356
28	5.364272725
29	5.314262152
30	5.285493761
31	5.215125353
32	5.168986793
33	5.092794163
34	5.056179529
35	4.989352789
36	4.940916504
37	4.87872601
38	4.815984242
39	4.742686554
40	4.663927177
41	4.627687485
42	4.56780316
43	4.511754331
44	4.471313633
45	4.421080786
46	4.363161385
47	4.324229433
48	4.282876689
49	4.240397869
50	4.205695414
51	4.154252793
52	4.141791029
53	4.09032955
54	4.055817698
55	4.000644664
56	3.934060975
57	3.908106253
58	3.866194815
59	3.851980689
60	3.802236008
61	3.757897671
62	3.720387679
63	3.670806497
64	3.628021772
65	3.591649989
66	3.557797172
67	3.535459265
68	3.49054304
69	3.453018899
70	3.413728286
71	3.367663089
72	3.331399193
73	3.289350432
74	3.233979033
75	3.203563421
76	3.163280761
77	3.152357618
78	3.1206923
79	3.079698539
80	3.070123794
81	3.033366993
82	3.013283357
83	2.988661522
84	2.964430037
85	2.92582183
86	2.891749757
87	2.878416868
88	2.843125073
89	2.813746376
90	2.78489776
91	2.755915253
92	2.734259409
93	2.712628354
94	2.683115583
95	2.6600862
96	2.625487788
97	2.599167558
98	2.572080066
99	2.532661323
100	2.509581885
101	2.483241278
102	2.477781627
103	2.455850271
104	2.441463019
105	2.414268682
106	2.392899401
107	2.367235957
108	2.343992065
109	2.319405524
110	2.280471938
111	2.267531043
112	2.251784772
113	2.226245227
114	2.205084775
115	2.187073111
116	2.173177907
117	2.145018477
118	2.120907381
119	2.099955959
120	2.084006538
121	2.07846872
122	2.064527277
123	2.048273458
124	2.028473983
125	2.001746121
126	1.977675768
127	1.96505293
128	1.94032786
129	1.928075426
130	1.898609352
131	1.880601451
132	1.871475204
133	1.856094018
134	1.84481706
135	1.835793652
136	1.833708521
137	1.818941018
138	1.798226448
139	1.783866363
140	1.77037082
141	1.75315546
142	1.74937941
143	1.7296054
144	1.716000345
145	1.696541738
146	1.69546609
147	1.694243487
148	1.692997051
149	1.684211215
150	1.683203009
151	1.675841168
152	1.666710759
153	1.656343714
154	1.643377954
155	1.635099119
156	1.622112873
157	1.614993844
158	1.610462885
159	1.596936382
160	1.583963133
161	1.577790564
162	1.559017593
163	1.543175273
164	1.531795604
165	1.514957733
166	1.501198047
167	1.497687582
168	1.488131831
169	1.474692702
170	1.468038192
171	1.466220709
172	1.464288843
173	1.457934731
174	1.456569583
175	1.447690351
176	1.434711386
177	1.415000671
178	1.408650405
179	1.40273967
180	1.383412139
181	1.373527485
182	1.358918149
183	1.344877473
184	1.333218126
185	1.327952466
186	1.313551167
187	1.305094338
188	1.301570029
189	1.286332877
190	1.275528
191	1.266991701
192	1.259089853
193	1.249143013
194	1.245739995
195	1.239930359
196	1.231702837
197	1.223037301
198	1.211940305
199	1.204281158
