iter	Passed	Remaining
0	1	208
1	1	176
2	2	150
3	3	148
4	3	145
5	4	144
6	5	142
7	5	141
8	6	140
9	7	138
10	8	138
11	8	136
12	9	135
13	10	134
14	10	132
15	11	133
16	12	132
17	12	131
18	13	129
19	14	128
20	15	128
21	15	127
22	16	126
23	17	125
24	17	124
25	18	123
26	19	122
27	19	122
28	20	121
29	21	120
30	21	117
31	22	116
32	22	115
33	23	114
34	24	114
35	24	113
36	25	113
37	26	112
38	27	111
39	27	111
40	28	110
41	29	110
42	29	109
43	30	108
44	31	107
45	31	107
46	32	106
47	33	105
48	34	104
49	34	104
50	35	103
51	36	102
52	36	101
53	37	101
54	38	100
55	38	99
56	39	99
57	40	98
58	40	97
59	41	97
60	42	96
61	42	95
62	43	94
63	44	94
64	45	93
65	45	92
66	46	92
67	47	91
68	47	90
69	48	90
70	49	89
71	49	88
72	50	87
73	51	87
74	51	86
75	52	85
76	53	85
77	53	84
78	54	83
79	55	83
80	56	82
81	56	81
82	57	81
83	58	80
84	59	79
85	59	79
86	60	78
87	61	77
88	61	77
89	62	76
90	63	75
91	63	74
92	64	74
93	65	73
94	65	72
95	66	72
96	67	71
97	67	70
98	68	70
99	69	69
100	70	68
101	70	67
102	71	67
103	72	66
104	72	65
105	73	65
106	74	64
107	74	63
108	75	63
109	76	62
110	76	61
111	77	60
112	78	60
113	78	59
114	79	58
115	80	58
116	81	57
117	81	56
118	82	56
119	83	55
120	83	54
121	84	54
122	85	53
123	85	52
124	86	51
125	87	51
126	87	50
127	88	49
128	89	49
129	90	48
130	90	47
131	91	47
132	92	46
133	92	45
134	93	45
135	94	44
136	94	43
137	95	42
138	96	42
139	96	41
140	97	40
141	98	40
142	98	39
143	99	38
144	100	38
145	101	37
146	101	36
147	102	36
148	103	35
149	103	34
150	104	33
151	105	33
152	105	32
153	106	31
154	107	31
155	107	30
156	108	29
157	109	29
158	109	28
159	110	27
160	111	26
161	112	26
162	112	25
163	113	24
164	114	24
165	114	23
166	115	22
167	116	22
168	116	21
169	117	20
170	118	20
171	118	19
172	119	18
173	120	17
174	120	17
175	121	16
176	122	15
177	123	15
178	123	14
179	124	13
180	125	13
181	125	12
182	126	11
183	127	11
184	127	10
185	128	9
186	129	8
187	130	8
188	130	7
189	131	6
190	132	6
191	132	5
192	133	4
193	134	4
194	135	3
195	135	2
196	136	2
197	137	1
198	137	0
199	138	0
